sentenca,categoria_maritaka
"ambiente agradável, bom bacalhau e boa carta de vinhos.","<frase>ambiente, comida, bebida"
"Ótimo lugar para um bom café regional, comer a vontade e preço justo!","<frase>comida, bebida, preço, geral"
Experiência fantástica.,geral
Decoração de cachacaria e comida de restaurante de ponta.....chopp ou cerveja gelados e diversas opções de cachaça para abrir o apetite.,"ambiente, comida, bebida, serviço"
"Ótimo local para um happy hour, ótimo ambiente e muita gente bonita.","<frase>ambiente, localização"
"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.","<frase>comida, serviço"
"Caros amigos Turistas, não percam a oportunidade de tomar o melhor café regional de Manaus, muitas variedades de especiarias regionais, o famoso pão com tucumã, a tapioca bem quentinha, com castanha/queijo, banana frita, sucos regionais, cupuaçu, tapereba, goiaba, muito bom mesmo, não deixem de visitar!!","comida, bebida, serviço"
Tive uma experiência não tão boa pedindo açaí via whatsapp na qual meu açaí veio com muito excesso de cobertura ( quase metade do copo) porém foram muito rápido e solícitos em resolver o problema.,"serviço, comida"
"?Som de boa qualidade, cerveja gelada!","ambiente, bebida"
"Comida muito boa, serviço de primeira, bons vinhos.","comida, serviço, bebida"
"Cerveja gelada, ambiente descontraído, música  de qualidade, gente interessante é de frente pro maior cartão postal da cidade (Teatro Amazonas)...","<frase>bebida, ambiente, música, localização"
"Ótimo restaurante, cardápio repleto de comidas gostosas e com sabores divinos.","comida, geral"
"Garçom Celso, ótimo atendimento, uma experiência incrível, super recomendo!","serviço, geral"
"Ótimo café, achei o preço um pouco elevado, mas o ambiente é realmente muito bacana.","preço, ambiente, bebida"
Cervejas regionais e petiscos para quem quer curtir.,"comida, bebida"
Cafe expresso delicioso!,bebida
Excelente experiência degustativa.,comida
"Tem a pedida tradicional que é o sanduíche de pernil e dependendo do dia um bom pagode, como se encontra no Rio.","comida, ambiente, outros"
"Porém, alguns pontos precisam ser observados: A feijoada, carro-chefe do fds do bar, servida em estilo buffet por R$ 39,90, não estava numa boa temperatura, simplesmente tava do normal para o frio.","comida, preço, geral"
"Tambaqui e pirarucu estavam no ponto certo e a farinha típica, com tempero especial!!!",comida
"Excelente lugar, ambiente climatizado, perfeito para um bom café, tudo de qualidade.","ambiente, bebida, geral"
"gostei muito,excelente atendimento,ótima degustação amei","<frase>serviço, gostei muito, excelente atendimento, ótima degustação, amei"
Buffet livre com uma grande variedade de pratos regionais.,"comida, serviço"
"Muito bom, só deveria ter uma variedades maior de sobremesas","comida, geral"
mesma embalagem vai pro microndas...otima ideia..e delicioso com preço bom...parabens frango mineiro,"comida, preço, geral"
"O Banzeiro é um restaurante mais sofisticado, com ar condicionado, bom atendimento, boas bebidas e um variado cardápio de comidas regionais.","<frase>ambiente, serviço, bebida, comida"
"Lugar agradável, atendimento maravilhoso, cerveja geladinha.","ambiente, serviço, bebida"
"Cerveja gelada, mesas na calçada e na via, Esquenta depois das 17 mas pode chegar antes para ouvir o chorinho.Vale demais a pena.Tem que conhecer.","ambiente, bebida, geral"
Café delicioso!!,"como a frase fornecida não contém um comentário completo de um cliente sobre um restaurante, mas sim uma expressão específica, ela não permite a identificação de temas de acordo com os critérios definidos a expressão ""café delicioso!!"" não inclui informações sobre o ambiente, serviço, preço, localização ou outros aspectos de um restaurante portanto, não é possível retornar uma saída com os nomes dos temas identificados, pois a frase fornecida não contém um comentário detalhado que possibilite essa análise"
Café regional muito bom.,comida
"Simplesmente um dos melhores senão o melhor para comer um hambúrguer delicioso, ambiente interno climatizado e externo arejado, estacionamento amplo e descoberto (o que não faz a menor diferença), e o principal, os melhores hambúrgueres da cidade de Manaus!","comida, ambiente, localização, geral"
Restaurante de comidas típicas maravilhosas.,comida
Cachaças e cervejas muito boas.,bebida
"Funcionários excelentes, rodízio bem servido, muito barulho ( normal para um público jovem).","serviço, comida, ambiente"
Hambúrguer delicioso e de qualidade!,comida
Excelente experiência.,geral
"O Paulo deixou a gente muito confortável, atendeu muito bem, comida deliciosa.","serviço, comida"
Uma das melhores festas de Manaus,"a frase ""uma das melhores festas de manaus"" não fornece informações específicas sobre restaurantes, portanto, não é possível identificar os temas mencionados anteriormente a frase parece se referir a uma experiência positiva em geral, mas sem detalhes sobre o local ou tipo de evento"
"Refrigerante quente, falta de educação dos funcionários estrangeiros .","serviço, bebida"
"Música boa, gente bonita, cerveja gelada!","ambiente, bebida"
"Cara que lugar bom, o atendimento é perfeito, e o café melhor ainda.","serviço, bebida, ambiente"
"Má atendimento, bebidas quentes e não inclusas.","serviço, bebida"
"Café típico da região e o famoso caboquinho, lanche típico","comida, bebida"
"A churrascaria tem um ambiente sofisticado com carnes nobres e saborosas além de bufês e guarnições que são preparadas na hora, os garçons são atenciosos e preparados, o preço diferente dos pratos, um pouco salgado.","comida, ambiente, serviço, preço"
Procurar uma embalagem melhor pra manteiga de garrafa que fica com a mão pegajosa depois que se serve!,"ambiente, comida"
"Carnes diversas, acompanhamentos saborosos, e atendimento maravilhoso.","comida, serviço"
"Melhor menu, excelente carta de vinhos!","comida, bebida"
Tradicional em Manaus... Ótima comida e grande diversidade de bebidas,"comida, bebida, geral"
"Café regional normal, simples, com todas as opções regionais, mas sem muito destaque.","comida, bebida"
Boa carta de vinho.,bebida
"Atendimento ótimo do DENYS, muito educado, gente boa, muito bom ??",serviço
"Experiência ótima, comida de primeira, atendimento vip .","serviço, comida"
Com opção de carnes nobres.,comida
Bom eu fui no café da br-174 no Km 12.,"comida, bebida, localização"
Cerveja gelada e boa carta de vinhos.,bebida
"De A a Z, desde o atendimento sem o mínimo de preparo para uma simples venda dos pratos da casa, a bebida (cerveja quente) e...Mais","serviço, bebida, comida"
O único problema é o barulho insuportável dos clientes conversando alto.,ambiente
Vinho delicioso!,bebida
Um ótimo lugar para curtir uma cerveja geladinha e a boa música brasileira.,"bebida, ambiente"
"Hambúrgueres excelentes, drinks muito bem servidos.","comida, bebida, serviço"
ótimo local para tomar uma cerveja gelada e passar o tempo com amigos.,"bebida, ambiente"
Boa cerveja e chope bem gelado.,bebida
"Boa refeição, só não gostei foi da cobrança da brinquedoteca, que por sinal, estava um forno muito quente.","comida, bebida, serviço, ambiente, outros"
"O famoso bolinho de feijoada é sempre uma boa pedida, porém a tradicionais picanha na chapa, super tradicional da casa ficou à desejar, chegou extremamente frio, com cara...Mais","comida, serviço"
"Sabores surpreendentes, como a pizza amazonia, que leva diferentes ervas.",comida
"Possui atendimento rápido, espaço grande e disponibilidade para pequenas e grandes reservas!","serviço, ambiente"
Garçons com um excelente treinamento e as carnes com ótimos cortes e comida muito gostosa.,"serviço, comida"
Tapioca e sucos regionais muito bom.,"comida, bebida"
"Experiência absurda , muito bom!!!!","<frase>*serviço*, *geral*"
"Excelente café regional, tudo maravilhoso, atendimento muito bom, o x-caboquinho muito bom, bananas fritas deliciosas, tapiocas maravilhosa, só e uma pena funcionar nos fim de semana.","comida, bebida, serviço, ambiente"
"A idéia das cervejas especiais é bem vinda, desde que estejam no cardápio, belgas frutadas, inglesas lupuladas, alemãs tradicionais e ipa e ales americanas somente, nada mais que 2 de cada tipo citado e apresentadas da maneira correta também.","bebida, comida"
Uma ótima experiência gastronômica.,comida
"Lugar tranquilo, climatizado, ótimo para se divertir com os amigos, além de um somzinho interativo (karaokê), tem petiscos deliciosos, banheiro disponível, garçons elevadíssimos, e um ambiente mais reservado para uma conversa com o crush.","ambiente, comida, serviço, outros"
Que experiência maravilhosa com a gastronomia amazonense.,"<frase>comida, geral"
"Café regional muito gostoso, para quem quer saborear uma ótima tapioca com gosto regional, é uma boa opção de local.","comida, bebida, localização"
lugar ótimo de gente bonita e ambiente maravilhoso... Só uma obs não tem onde estacionar e isso é muito chato ainda mas este sábado passado que estava chovendo quase não saíamos do carro lamentável ?,"localização, ambiente, geral"
Experiência muito agradável.,"<frase>análise da frase: ""experiência muito agradável""temas identificados:- geral"
"O ambiente é espaçoso, com música ao vivo e cerveja gelada.","ambiente, bebida"
Foi realmente uma experiência maravilhosa.,geral
"Atendimento, comida e bebidas excelentes","<frase>serviço, comida, bebida"
Generosa e gostosa porção de pastéis  de queijo e música so vivo  de qualidade.,"comida, ambiente"
Ótimo experiência com a culinária local,comida
"Serve cerveja gelada, caipirinha e outras.","bebida, serviço"
Café da manhã top!,"bebida, comida"
"As bebidas chegam bem todavia o barulho do local incomoda quem quer conversar e saborear... alguns tira gostos existentes, os quais demoram muito para ficarem prontos e chegarem as pessoas que o solicitaram...","bebida, ambiente, serviço"
Tapioca muito deliciosa.,comida
"Olha.. estava dando 5 estrelas FÁCIL… até ver a conta.. estava tudo muito bom.. comida gostosa (com preço justo) e cerveja gelada.. mas qnd veio a conta vimos que estavam cobrando R$25,00 na cerveja tijuca.. estava no cardápio?","<frase>comida, bebida, serviço, preço, geral"
"Melhor experiência, nunca tive....",geral
"Vá com calma e não se estresse, será uma boa experiência, as pizzas são boas!","comida, serviço"
Melhor opção de carnes vermelhas em Manaus.,comida
Há sucos naturais e cerveja gelada.,"bebida, serviço"
"Um lugar ótimo para tomar uma cerveja bem gelada, ótimo atendimento, petiscos e tira gostos muito bons, além dos pratos da cozinha portuguesa.","comida, bebida, serviço"
"Festas temáticas, ótimas comidas e claro, atendimento 100%  Obrigado pela vivência.","comida, bebida, serviço"
Ambiente agradável e pessoal atencioso.,"serviço, ambiente"
"Visitei o Café Priscila numa quarta-feira, foi uma boa experiência.","comida, bebida, ambiente, localização, preço, geral"
"Espaço p crianças, diversão para adultos e petiscos deliciosos, e tem estacionamento.","ambiente, comida, outros"
"O atendimento foi maravilhoso, ganhei um desconto comprando 1 torta e 1 cento de salgadinho de bolinha de queijo (unica opcao que tinha).","serviço, comida"
"Mais uma vez ,surpreendido com essa maravilha de cardápio, agora com outras poções exuberante, como sempre atendentes atenciosos, 'mais' desta vez precisou da ajuda de sua gerente para indicar um bom vinho, que por sua vez super agradável na combinação indicada por ela, tudo maravilhoso...Mais","serviço, bebida, comida"
Destaque para os drinks com sabores locais.,bebida
Experiência maravilhosa.,"comida, bebida, serviço"
